title,link,source
Pavilion Shell Book Pavilion / LUO studio,https://www.archdaily.com/1040851/shell-book-pavilion-luo-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion The German Pavilion at the Kerala Literature Festival 2026 / The Purple Ink Studio,https://www.archdaily.com/1040258/the-german-pavilion-at-the-kerala-literature-festival-2026-the-purple-ink-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture Light Pavilion / DRAWING WORKS,https://www.archdaily.com/1039978/light-pavilion-drawing-works?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Resting Pavilion in Osaka Expo / MIDW,https://www.archdaily.com/1039766/resting-pavilion-in-osaka-expo-midw?ad_source=search&ad_medium=projects_tab,ArchDaily
"Pavilion ""Echo of the ruins"" Open-Air Museum of Sound and Memory / 1Y Architects",https://www.archdaily.com/1039649/echo-of-the-ruins-open-air-museum-of-sound-and-memory-1y-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture Sayuwon Park Performance Pavilion / liveraniandrea,https://www.archdaily.com/1039718/sayuwon-park-performance-pavilion?ad_source=search&ad_medium=projects_tab,ArchDaily
Mixed Use Architecture Casa Wabi Mushroom Pavilion / OMA,https://www.archdaily.com/1039505/casa-wabi-mushroom-pavilion-oma?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion L’Ile Folie / MARC FORNES + THEVERYMANY,https://www.archdaily.com/1039510/lile-folie-marc-fornes-plus-theverymany?ad_source=search&ad_medium=projects_tab,ArchDaily
Installations & Structures Unscripted Pavilion / Abin Design Studio,https://www.archdaily.com/1039250/unscripted-pavilion-abin-design-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Installations & Structures Pavilion TEUM / Kookmin University + one-aftr,https://www.archdaily.com/1039033/pavilion-teum-one-aftr?ad_source=search&ad_medium=projects_tab,ArchDaily
Installations & Structures Aranyani Pavilion / Tara Lal + T_M.space,https://www.archdaily.com/1038633/aranyani-pavilion-t-pace-plus-tara-lal?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Cabin Fever 2025 Installations / Hello Wood,https://www.archdaily.com/1038483/cabin-fever-2025-hello-wood?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture House of the Seasons / New Architekten + Jutta Albus Architektur,https://www.archdaily.com/1038143/house-of-the-seasons-new-architekten-plus-jutta-albus-architektur?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Floating Cabin / Atelier Wen'Arch,https://www.archdaily.com/1037339/floating-cabin-atelier-wenarch?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Gardeners' Pavilion Club Hípico de Santiago / José Ignacio Valdivieso,https://www.archdaily.com/993269/gardeners-pavilion-club-hipico-de-santiago-valdivieso-arquitectos?ad_source=search&ad_medium=projects_tab,ArchDaily
"Pavilion Choreography of a Cloud, Dancing Shadows Art Pavilion at the Louvre Abu Dhabi / YOKOMAE et BOUAYAD",https://www.archdaily.com/1037241/choreography-of-a-cloud-dancing-shadows-art-pavilion-at-the-louvre-abu-dhabi-yokomae-et-bouayad?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Plivatri Pavilion / MEDS (Meetings of Design Students) + Ahmad El Zu'bi + Leda Demetriadou + Stefanie Zins,https://www.archdaily.com/1037214/plivatri-pavilion-meds-meetings-of-design-students-plus-ahmad-el-zubi-plus-leda-demetriadou-plus-stefanie-zins?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Wooden Wonders – Chiayi City Expo / MVRDV,https://www.archdaily.com/1037096/wooden-wonders-chiayi-city-expo-mvrdv?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Laoyuting Pavilion / Atelier Deshaus,https://www.archdaily.com/1036767/laoyuting-pavilion-atelier-deshaus?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture Reception Pavilion / Busch & Takasaki Architekten + gmp Architects,https://www.archdaily.com/1036330/reception-pavilion-busch-and-takasaki-architekten-plus-gmp-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Bamboo Theater / Cheng Tsung FENG Design Studio,https://www.archdaily.com/1036255/bamboo-theatre-cheng-tsung-feng-design-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion MIEL Pavilion / Pezo von Ellrichshausen,https://www.archdaily.com/1035997/miel-pavilion-pezo-von-ellrichshausen?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Temple of Darkness Bakhoor Bakhoor Pavilion / Bunga Design Atelier,https://www.archdaily.com/1036017/temple-of-darkness-bakhoor-bakhoor-pavilion-bunga-design-atelier?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion BaleBio / Cave Urban,https://www.archdaily.com/1035918/balebio-cave-urban?ad_source=search&ad_medium=projects_tab,ArchDaily
Installations & Structures PAN-ORAMA Pavilion / Associates Architecture,https://www.archdaily.com/1035385/pan-orama-pavilion-associates-architecture?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Five-Finger Pavilion / YXDesigners,https://www.archdaily.com/1034978/five-finger-pavilion-yxdesigners?ad_source=search&ad_medium=projects_tab,ArchDaily
"Pavilion Wave Pavilion, Urban Micro-Space Regeneration Plan / Moguang Studio",https://www.archdaily.com/1035033/wave-pavilion-urban-micro-space-regeneration-plan-moguang-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Installations & Structures Modern Mongolian Ger Installation / Ger Atelier,https://www.archdaily.com/1032499/modern-mongolian-ger-installation-ger-atelier?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Majlis & The Manama (Wind Catchers) Pavilion / Ahmed and Rashid Bin Shabib,https://www.archdaily.com/1034852/majlis-and-the-manama-wind-catchers-pavilion-ahmed-and-rashid-bin-shabib?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Osaka Expo 2025 Foresting Architecture Pavilion / Takenaka Corporation,https://www.archdaily.com/1034719/osaka-expo-2025-foresting-architecture-pavilion-takenaka-corporation?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Moon Pavilion / Atelier Guo,https://www.archdaily.com/1034543/moon-pavilion-atelier-guo?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture Barn Again Pavilion / THISS Studio + Tom Svilans,https://www.archdaily.com/1034418/barn-again-pavilion-thiss-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion EXPO Osaka 2025 Sauna 'TAIYO TSUBOMI' / KOMPAS,https://www.archdaily.com/1034391/expo-osaka-2025-sauna-taiyo-tsubomi-kompas?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Osaka Expo 2025 Future Life Village Pavilion / KOMPAS,https://www.archdaily.com/1034387/osaka-expo-2025-future-life-village-pavilion-kompas?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Raw Materials Pavilion / OficinaTransversal,https://www.archdaily.com/1034239/raw-materials-pavilion-oficinatransversal?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Osaka Expo 2025 Thailand Pavilion / Architects 49,https://www.archdaily.com/1033268/osaka-expo-2025-thailand-pavilion-architects-49?ad_source=search&ad_medium=projects_tab,ArchDaily
Cultural Architecture Poland Pavilion Expo 2025 Osaka / interplay architects,https://www.archdaily.com/1031464/poland-pavilion-expo-2025-osaka-interplay-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion All Together Under the Umbrella / Cheng Tsung FENG Design Studio,https://www.archdaily.com/1033442/all-together-under-the-umbrella-cheng-tsung-feng-design-studio?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Ceramic Pavilions in the Northern Fields of Valencia / Bona fide taller,https://www.archdaily.com/1033044/ceramic-pavilions-in-the-northern-fields-of-valencia-bona-fide-taller?ad_source=search&ad_medium=projects_tab,ArchDaily
Landscape Architecture Half-Mountain Cloud Station / Qing Studio + Li Nu,https://www.archdaily.com/1032578/half-mountain-cloud-station-qing-studio-plus-li-nu?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Osaka Expo 2025 Healthcare Pavilion Nest for Reborn / Tohata Architects & Engineers,https://www.archdaily.com/1032425/osaka-expo-2025-healthcare-pavilion-nest-for-reborn-tohata-architects-and-engineers?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Switzerland Pavilion Expo 2025 Osaka / Manuel Herz Architects,https://www.archdaily.com/1031282/switzerland-pavilion-expo-2025-osaka-manuel-herz-architects?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Spanish Pavilion Expo Osaka 2025 / ENORME Studio + Smart and Green Design + EXTUDIO,https://www.archdaily.com/1032081/spanish-pavilion-expo-osaka-2025-enorme-studio-plus-smart-and-green-design-plus-extudio?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Teummak Open Hut / one-aftr,https://www.archdaily.com/1032022/teummak-open-hut-one-aftr?ad_source=search&ad_medium=projects_tab,ArchDaily
Pavilion Osaka Expo 2025 Colombia Pavilion / MORF Inc.,https://www.archdaily.com/1031868/osaka-expo-2025-colombia-pavilion-morf-inc?ad_source=search&ad_medium=projects_tab,ArchDaily
