title,object_type,maker,date,image_url,link,source,search_keyword
Design for textile,Textile design,"Grant, Duncan",c. 1933,"https://framemark.vam.ac.uk/collections/2016JG1931/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O552918/,V&A Textiles Collection,textile
Design for textile,Textile design,"Grant, Duncan",c. 1933,"https://framemark.vam.ac.uk/collections/2016JG1995/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O552915/,V&A Textiles Collection,textile
Design for textile,Textile design,"Grant, Duncan",c. 1933,"https://framemark.vam.ac.uk/collections/2016JG1898/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O552920/,V&A Textiles Collection,textile
Design for textile,Textile design,"Grant, Duncan",c. 1933,"https://framemark.vam.ac.uk/collections/2016JR1687/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O552919/,V&A Textiles Collection,textile
Design for textile,Textile design,"Grant, Duncan",c. 1933,"https://framemark.vam.ac.uk/collections/2016JG1996/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O552912/,V&A Textiles Collection,textile
Design for textile,Textile design,"Grant, Duncan",c. 1933,,https://collections.vam.ac.uk/item/O552914/,V&A Textiles Collection,textile
Design for textile,Textile design,Vanessa Bell,ca. 1934,"https://framemark.vam.ac.uk/collections/2016JG8692/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O552913/,V&A Textiles Collection,textile
Design for textile,Textile design,Vanessa Bell,c. 1934,"https://framemark.vam.ac.uk/collections/2024NT2957/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O552917/,V&A Textiles Collection,textile
Design for textile,Textile design,Vanessa Bell,ca. 1934,"https://framemark.vam.ac.uk/collections/2024NT2957/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O552916/,V&A Textiles Collection,textile
Daphne and Apollo,Textile,Duncan Grant,1932,"https://framemark.vam.ac.uk/collections/2006BF0308/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O199319/,V&A Textiles Collection,textile
Mao Zedong at work,Textile Picture,unknown,1960-80,"https://framemark.vam.ac.uk/collections/2021MV2833/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O1489811/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1855-1879,"https://framemark.vam.ac.uk/collections/2014HA4145/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O478284/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1855-1879,"https://framemark.vam.ac.uk/collections/2014HA4141/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O478311/,V&A Textiles Collection,textile
Machine embroidered textile ,Textile,Blanck & Co.,1923,"https://framemark.vam.ac.uk/collections/2019MB3913/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O367633/,V&A Textiles Collection,textile
Machine embroidered textile ,Textile,Blanck & Co.,1923,"https://framemark.vam.ac.uk/collections/2019MB3904/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O367632/,V&A Textiles Collection,textile
Machine embroidered textile ,Textile,Blanck & Co.,1923,"https://framemark.vam.ac.uk/collections/2019MB3911/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O367631/,V&A Textiles Collection,textile
Pansies,Textile design,Pat Albeck,1973,,https://collections.vam.ac.uk/item/O550518/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1855-1879,"https://framemark.vam.ac.uk/collections/2013GV0572/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O472233/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1855,"https://framemark.vam.ac.uk/collections/2014HA9556/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O476383/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1855-1879,"https://framemark.vam.ac.uk/collections/2013GV1029/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O472223/,V&A Textiles Collection,textile
Textile,Textile,,ca. 1930-1940,"https://framemark.vam.ac.uk/collections/2012FN9615/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O1247464/,V&A Textiles Collection,textile
Textile,Textile,,ca. 1930-1940,"https://framemark.vam.ac.uk/collections/2012FN9612/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O1247216/,V&A Textiles Collection,textile
The Stein Collection,Textile,Unknown,360 BC - 50 BC,"https://framemark.vam.ac.uk/collections/2006AF1483/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O92700/,V&A Textiles Collection,textile
Sparkling Jewels,Sample book,"Donghia, Sherri",1993,"https://framemark.vam.ac.uk/collections/2018LE5997/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O81604/,V&A Textiles Collection,textile
Textile,Textile,,ca. 1930-1940,"https://framemark.vam.ac.uk/collections/2012FN9611/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O1247462/,V&A Textiles Collection,textile
The Stein Collection,Textile,Unknown,7th century to 10th century,"https://framemark.vam.ac.uk/collections/2006AG0440/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O85191/,V&A Textiles Collection,textile
Textile,Textile,,ca. 1930-1940,"https://framemark.vam.ac.uk/collections/2012FN9614/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O1247463/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1855,"https://framemark.vam.ac.uk/collections/2014HA4688/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O478139/,V&A Textiles Collection,textile
The Stein Collection,Textile,Unknown,7th century to 10th century,"https://framemark.vam.ac.uk/collections/2006BB3241/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O87633/,V&A Textiles Collection,textile
Textile,Textile,,ca. 1930-1940,"https://framemark.vam.ac.uk/collections/2012FN9610/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O1247461/,V&A Textiles Collection,textile
The Stein Collection,Textile,Unknown,100-300,"https://framemark.vam.ac.uk/collections/2006AE7764/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O97699/,V&A Textiles Collection,textile
The Stein Collection,Textile,Unknown,7th century to 10th century,"https://framemark.vam.ac.uk/collections/2006AG0448/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O85207/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1881-1882,"https://framemark.vam.ac.uk/collections/2014HA0275/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O477418/,V&A Textiles Collection,textile
Poppies,Textile design,Alister Maynard,c.1965,"https://framemark.vam.ac.uk/collections/2016JG2251/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O554101/,V&A Textiles Collection,textile
The Stein Collection,Textile,Unknown,7th century to 10th century,"https://framemark.vam.ac.uk/collections/2006AF9266/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O87465/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1867,"https://framemark.vam.ac.uk/collections/2014HA0064/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O453947/,V&A Textiles Collection,textile
Textile,Textile,Unknown,19th century,"https://framemark.vam.ac.uk/collections/2013GU1147/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O455510/,V&A Textiles Collection,textile
Arabesque,Textile design,Alister Maynard,c.1965,"https://framemark.vam.ac.uk/collections/2017JR5357/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O554119/,V&A Textiles Collection,textile
Textile,Textile,Unknown,1963-1970,"https://framemark.vam.ac.uk/collections/2016JE2900/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O478402/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1855-1879,"https://framemark.vam.ac.uk/collections/2014HB0492/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O478067/,V&A Textiles Collection,textile
Textile,Textile,Unknown,19th century,"https://framemark.vam.ac.uk/collections/2013GU1073/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O455509/,V&A Textiles Collection,textile
The Stein Collection,Textile,Unknown,7th century to 10th century,"https://framemark.vam.ac.uk/collections/2006AF9263/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O85583/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1855,"https://framemark.vam.ac.uk/collections/2013GV6097/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O476436/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1855-1879,"https://framemark.vam.ac.uk/collections/2014HA4702/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O440651/,V&A Textiles Collection,textile
Mountains,Textile,"Khatri , Khalid Amin",2014,"https://framemark.vam.ac.uk/collections/2016HY8983/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O1307268/,V&A Textiles Collection,textile
The Stein Collection,Textile,Unknown,7th century to 10th century,"https://framemark.vam.ac.uk/collections/2006AF8083/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O87463/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1855-1879,"https://framemark.vam.ac.uk/collections/2014GY1748/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O476351/,V&A Textiles Collection,textile
Textile,Textile,Unknown,1879,"https://framemark.vam.ac.uk/collections/2018LE2822/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O164855/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1855-1879,"https://framemark.vam.ac.uk/collections/2014GX5786/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O476323/,V&A Textiles Collection,textile
The Stein Collection,Textile,Unknown,7th century to 10th century,"https://framemark.vam.ac.uk/collections/2006AF9193/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O87495/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1881-1882,"https://framemark.vam.ac.uk/collections/2014GX5782/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O481218/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1881-1882,"https://framemark.vam.ac.uk/collections/2013GV1480/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O481222/,V&A Textiles Collection,textile
The Stein Collection,Textile,Unknown,9th century to 10th century,"https://framemark.vam.ac.uk/collections/2006AF1384/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O85471/,V&A Textiles Collection,textile
Textile,Textile,Unknown,1919,"https://framemark.vam.ac.uk/collections/2021NA3668/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O478564/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1855,"https://framemark.vam.ac.uk/collections/2013GV6087/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O476480/,V&A Textiles Collection,textile
The Stein Collection,Textile,Unknown,200-400,"https://framemark.vam.ac.uk/collections/2006AF3228/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O94207/,V&A Textiles Collection,textile
Textile,Textile,Unknown,1919,"https://framemark.vam.ac.uk/collections/2021NA3629/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O478565/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1855-1879,"https://framemark.vam.ac.uk/collections/2014HA4276/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O478161/,V&A Textiles Collection,textile
Textile,Textile,Unknown,ca. 1881-1882,"https://framemark.vam.ac.uk/collections/2013GV1361/full/!100,100/0/default.jpg",https://collections.vam.ac.uk/item/O481170/,V&A Textiles Collection,textile
